Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",10233,6755,OPEN
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",558,395,ST
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",848,848,ST
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2695,2458,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Civil Engineering (4 Years, Bachelor of Technology)",366,295,ST
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",86,86,OPEN (PwD)
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Electronics Engineering (4 Years, Bachelor of Technology)",2434,1584,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",4707,3588,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",717,650,ST
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Mining Engineering (4 Years, Bachelor of Technology)",1102,20,SC
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15373,13604,OPEN
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",1095,893,SC
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Chemistry (5 Years, Integrated Master of Science)",10610,6429,OPEN
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",863,639,OPEN
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",225,138,OBC-NCL
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Electrical Engineering (4 Years, Bachelor of Technology)",394,394,ST
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",297,189,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Geophysical Technology (5 Years, Integrated Master of Technology)",9926,8635,OPEN
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Physics (5 Years, Integrated Master of Science)",2136,1988,SC
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",1343,1234,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Chemical Engineering (4 Years, Bachelor of Technology)",5088,5074,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Environmental Engineering (4 Years, Bachelor of Technology)",6816,6163,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Environmental Engineering (4 Years, Bachelor of Technology)",838,838,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Mineral Engineering (4 Years, Bachelor of Technology)",792,792,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Mining Engineering (4 Years, Bachelor of Technology)",878,15,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",16035,13761,OPEN
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2083,1315,OPEN
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",646,379,SC
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",1984,1874,SC
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",10758,8137,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",2218,2111,SC
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",425,298,ST
Indian Institute of Technology Gandhinagar,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",1885,1580,OBC-NCL
Indian Institute of Technology Gandhinagar,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",8781,7689,OPEN
Indian Institute of Technology Gandhinagar,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",3423,3423,OBC-NCL
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",1700,1579,SC
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Civil Engineering (4 Years, Bachelor of Technology)",8674,7346,OPEN
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",715,428,SC
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",412,347,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Architecture (5 Years, Bachelor of Architecture)",12940,10503,OPEN
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Architecture (5 Years, Bachelor of Architecture)",2885,1929,SC
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Architecture (5 Years, Bachelor of Architecture)",2164,2164,SC
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",416,278,OPEN
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Geological Technology (5 Years, Integrated Master of Technology)",9172,7212,OPEN
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Geological Technology (5 Years, Integrated Master of Technology)",12618,10400,OPEN
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Geological Technology (5 Years, Integrated Master of Technology)",2155,2016,SC
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Geophysical Technology (5 Years, Integrated Master of Technology)",1868,1638,SC
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",79,9,OPEN (PwD)
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Physics (5 Years, Integrated Master of Science)",6466,3588,OPEN
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",4800,4754,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Applied Geology (5 Years, Integrated Master of Technology)",10888,9126,OPEN
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Applied Geophysics (5 Years, Integrated Master of Technology)",2278,2277,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",916,880,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",3097,2767,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Civil Engineering (4 Years, Bachelor of Technology)",2901,2441,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",1952,1952,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Mathematics and Computing (5 Years, Integrated Master of Technology)",677,492,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Mineral Engineering (4 Years, Bachelor of Technology)",803,487,ST
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",1255,939,SC
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",1359,1049,SC
Indian Institute of Technology Ropar,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",2499,2422,SC
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",2224,2108,SC
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Ceramic Engineering (4 Years, Bachelor of Technology)",9864,6917,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",2256,2175,SC
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Chemical Engineering (4 Years, Bachelor of Technology)",2289,2266,SC
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",246,137,SC
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Electronics Engineering (4 Years, Bachelor of Technology)",1158,804,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Electronics Engineering (4 Years, Bachelor of Technology)",58,58,OPEN (PwD)
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",3053,3053,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",2882,2143,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",1759,1544,SC
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1712,1479,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Metallurgical Engineering (4 Years, Bachelor of Technology)",905,74,ST
Indian Institute of Technology Gandhinagar,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",1038,889,SC
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",5841,3813,OPEN
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",3966,2926,OPEN
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",3432,3327,OBC-NCL
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1058,729,OBC-NCL
Indian Institute of Technology Patna,AI,Female-only (including Supernumerary),2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2307,2226,OBC-NCL
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",2211,1617,OBC-NCL
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Architecture (5 Years, Bachelor of Architecture)",5179,5179,OBC-NCL
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Bio Technology (4 Years, Bachelor of Technology)",126,28,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Chemistry (5 Years, Integrated Master of Science)",12806,10912,OPEN
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",527,456,OBC-NCL
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",622,313,OBC-NCL
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",365,365,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Geophysical Technology (5 Years, Integrated Master of Technology)",6509,6509,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Civil Engineering (4 Years, Bachelor of Technology)",1321,1248,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",371,238,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",26,26,OPEN (PwD)
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",2111,1534,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Electrical Engineering (4 Years, Bachelor of Technology)",3648,3310,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",7840,6416,OPEN
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",800,800,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Environmental Engineering (4 Years, Bachelor of Technology)",10924,9355,OPEN
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Petroleum Engineering (4 Years, Bachelor of Technology)",6875,5109,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Petroleum Engineering (4 Years, Bachelor of Technology)",782,589,ST
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",6033,4453,OPEN
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",3992,3756,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",10775,9147,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",11230,9135,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",800,800,ST
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Chemical Engineering (4 Years, Bachelor of Technology)",9467,8150,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Chemical Engineering (4 Years, Bachelor of Technology)",421,421,ST
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Civil Engineering (4 Years, Bachelor of Technology)",4629,3957,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",515,515,ST
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",279,256,SC
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",250,250,ST
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Electronics Engineering (4 Years, Bachelor of Technology)",4027,3917,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3,3,OBC-NCL (PwD)
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",874,874,ST
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",4146,3009,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Mining Engineering (4 Years, Bachelor of Technology)",477,120,ST
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10887,9923,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",11186,6792,OPEN
Indian Institute of Technology Gandhinagar,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",466,445,ST
Indian Institute of Technology Patna,AI,Female-only (including Supernumerary),2018,"Electrical Engineering (4 Years, Bachelor of Technology)",9369,8322,OPEN
Indian Institute of Technology Patna,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",11132,10064,OPEN
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Applied Mathematics (5 Years, Integrated Master of Science)",1841,1841,SC
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Applied Mathematics (5 Years, Integrated Master of Science)",909,897,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Bio Technology (4 Years, Bachelor of Technology)",9613,6460,OPEN
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",669,442,ST
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",82,58,ST
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",243,71,ST
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",45,43,OPEN (PwD)
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Engineering Physics (4 Years, Bachelor of Technology)",684,606,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Geological Technology (5 Years, Integrated Master of Technology)",6584,4700,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Applied Geology (5 Years, Integrated Master of Technology)",4592,4034,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Chemical Engineering (4 Years, Bachelor of Technology)",826,826,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",727,644,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Petroleum Engineering (4 Years, Bachelor of Technology)",301,301,ST
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",3457,3257,OBC-NCL
Indian Institute of Technology Ropar,AI,Female-only (including Supernumerary),2018,"Chemical Engineering (4 Years, Bachelor of Technology)",5284,5284,OBC-NCL
Indian Institute of Technology Ropar,AI,Female-only (including Supernumerary),2018,"Civil Engineering (4 Years, Bachelor of Technology)",5639,5553,OBC-NCL
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Civil Engineering (4 Years, Bachelor of Technology)",1529,1129,SC
Indian Institute of Technology Ropar,AI,Female-only (including Supernumerary),2018,"Electrical Engineering (4 Years, Bachelor of Technology)",789,789,ST
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",14027,12533,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",6272,4116,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",11422,11173,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",709,502,SC
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",2168,2061,SC
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Metallurgical Engineering (4 Years, Bachelor of Technology)",524,524,ST
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",9597,8144,OPEN
Indian Institute of Technology Gandhinagar,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",2182,2182,SC
Indian Institute of Technology Patna,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",2753,2753,SC
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Chemical Engineering (4 Years, Bachelor of Technology)",825,825,ST
Indian Institute of Technology Patna,AI,Female-only (including Supernumerary),2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",829,829,SC
Indian Institute of Technology Patna,AI,Female-only (including Supernumerary),2018,"Electrical Engineering (4 Years, Bachelor of Technology)",3833,3743,OBC-NCL
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",564,491,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Architecture (5 Years, Bachelor of Architecture)",762,762,ST
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",63,63,OPEN (PwD)
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",799,571,OBC-NCL
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Engineering Physics (4 Years, Bachelor of Technology)",2154,1811,OBC-NCL
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",857,857,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",8413,7926,OPEN
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Applied Geophysics (5 Years, Integrated Master of Technology)",1122,1122,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Chemical Engineering (4 Years, Bachelor of Technology)",2162,2162,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Civil Engineering (4 Years, Bachelor of Technology)",4438,4194,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1089,435,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",613,171,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",432,432,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Environmental Engineering (4 Years, Bachelor of Technology)",12977,12353,OPEN
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",2375,2115,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Petroleum Engineering (4 Years, Bachelor of Technology)",1673,1443,SC
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",58,58,OPEN (PwD)
Indian Institute of Technology Ropar,AI,Female-only (including Supernumerary),2018,"Electrical Engineering (4 Years, Bachelor of Technology)",3805,3247,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",4674,4382,OBC-NCL
Indian Institute of Technology (BHU) Varanasi,AI,Female-only (including Supernumerary),2018,"Civil Engineering (4 Years, Bachelor of Technology)",9487,8504,OPEN
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Electrical Engineering (4 Years, Bachelor of Technology)",374,313,ST
Indian Institute of Technology (BHU) Varanasi,AI,Gender-Neutral,2018,"Metallurgical Engineering (4 Years, Bachelor of Technology)",1880,1543,SC
Indian Institute of Technology Patna,AI,Gender-Neutral,2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",1576,1005,SC
Indian Institute of Technology Roorkee,AI,Gender-Neutral,2018,"Chemistry (5 Years, Integrated Master of Science)",2092,2062,SC
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",105,105,OPEN (PwD)
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Electrical Engineering (4 Years, Bachelor of Technology)",1109,974,SC
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",605,605,ST
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Geophysical Technology (5 Years, Integrated Master of Technology)",654,654,SC
Indian Institute of Technology Roorkee,AI,Female-only (including Supernumerary),2018,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",2366,2352,SC
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Applied Geophysics (5 Years, Integrated Master of Technology)",14083,13104,OPEN
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",38,38,OBC-NCL (PwD)
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Engineering Physics (4 Years, Bachelor of Technology)",7428,6476,OPEN
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",4845,4329,OBC-NCL
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",872,872,ST
Indian Institute of Technology (ISM) Dhanbad,AI,Female-only (including Supernumerary),2018,"Mining Engineering (4 Years, Bachelor of Technology)",15851,12969,OPEN
Indian Institute of Technology (ISM) Dhanbad,AI,Gender-Neutral,2018,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",4091,2927,OBC-NCL
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Computer Science and Engineering (4 Years, Bachelor of Technology)",401,341,ST
Indian Institute of Technology Ropar,AI,Female-only (including Supernumerary),2018,"Mechanical Engineering (4 Years, Bachelor of Technology)",9904,7999,OPEN
Indian Institute of Technology Ropar,AI,Gender-Neutral,2018,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2855,2668,OBC-NCL
